MJD FLUX_U FLUX_G FLUX_R FLUX_I FLUXERR_U FLUXERR_G FLUXERR_R FLUXERR_I FLUXLIM_U FLUXLIM_G FLUXLIM_R FLUXLIM_I MAG_U MAG_G MAG_R MAG_I MAGERR_U MAGERR_G MAGERR_R MAGERR_I MAGLIM_U MAGLIM_G MAGLIM_R MAGLIM_I
54357.25164   8.92   8.30   6.44   5.39   0.49   0.32   0.29   0.44   0.70   0.45   0.44   0.67  20.12  20.20  20.48  20.67  -0.06  -0.04  -0.05  -0.09  22.88  23.36  23.39  22.94
54362.30145   9.36   7.98   5.71   5.62   0.45   0.30   0.29   0.48   0.70   0.45   0.46   0.72  20.07  20.24  20.61  20.63  -0.05  -0.04  -0.06  -0.09  22.89  23.37  23.35  22.86
54379.29168   7.84   7.24   5.29   4.99   0.66   0.26   0.28   0.41   7.84   0.38   0.44   0.63  20.26  20.35  20.69  20.75  -0.09  -0.04  -0.06  -0.09  20.26  23.54  23.39  23.01
54385.29947   6.43   7.08   5.78   4.09   0.47   0.26   0.28   0.42   0.65   0.41   0.43   0.64  20.48  20.38  20.59  20.97  -0.08  -0.04  -0.05  -0.11  22.97  23.47  23.41  22.99
54387.29997   7.55   6.05   5.91   3.97   0.30   0.27   0.31   0.45   0.39   0.41   0.47   0.69  20.31  20.55  20.57  21.00  -0.04  -0.05  -0.06  -0.12  23.52  23.47  23.33  22.91
54394.28270   5.71   5.31   4.11  -0.14   0.33   0.40   0.47   0.63   5.71   0.63   4.11   1.00  20.61  20.69  20.96 -99.00  -0.06  -0.08  -0.12   4.76  20.61  23.00  20.96  22.50
54402.29314  -0.94   6.10   4.64   3.45   0.94   0.46   0.47   0.63   1.41   0.68   4.64   0.92 -99.00  20.54  20.83  21.16   1.08  -0.08  -0.11  -0.20  22.13  22.92  20.83  22.59
54407.21047   1.03   1.14  -0.41  -4.41   0.82   0.34   0.47   0.82   1.24   1.14   0.72   1.24  22.47  22.35 -99.00 -99.00  -0.87  -0.32   1.24   0.20  22.27  22.35  22.86  22.27
54411.16537   7.36   6.00   4.98   5.24   0.42   0.23   0.27   0.46   0.58   0.37   0.41   0.69  20.33  20.55  20.76  20.70  -0.06  -0.04  -0.06  -0.10  23.09  23.58  23.47  22.91
54413.20612   4.20   5.55   4.26   4.11   0.27   0.31   0.26   0.47   0.30   0.37   0.40   0.66  20.94  20.64  20.93  20.97  -0.07  -0.06  -0.07  -0.12  23.82  23.57  23.49  22.96
54415.20260   5.25   5.54   5.04   4.99   0.33   0.23   0.28   0.38   0.46   0.36   0.41   0.59  20.70  20.64  20.74  20.76  -0.07  -0.05  -0.06  -0.08  23.35  23.60  23.48  23.08
54418.20620   5.97   5.94   4.71   3.74   0.26   0.26   0.26   0.43   5.97   0.38   0.38   0.65  20.56  20.57  20.82  21.07  -0.05  -0.05  -0.06  -0.12  20.56  23.55  23.55  22.96
54422.21078   5.80   5.71   4.47   4.84   0.57   0.34   0.33   0.50   0.85   0.55   0.50   0.77  20.59  20.61  20.88  20.79  -0.11  -0.06  -0.08  -0.11  22.67  23.16  23.25  22.78
