"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1863","SN 2000M","17:32:39.610","+16:23:54.89","SN II","","NGC 6389        ","","","","","","","","","0","1","","16.5","","2000-02-27 00:00:00.000","","[Discoverer=Migliardi; DiscoveryRef=IAUC 7373; PositionRef=IAUC 7373; Orig Type=II   ]",""
"1864","SN 2000N","13:27:56.189","-13:24:48.31","SN II","","MCG -02-34-54   ","","","","","","","","","0","1","","17.3","","2000-03-04 00:00:00.000","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7374; PositionRef=IAUC 7374; Orig Type=II   ]",""
"1865","SN 2000O","12:11:15.581","+17:53:32.21","SN Ia","","MCG +03-31-61   ","","","","","","","","","0","1","","17.1","","2000-03-05 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 7375; PositionRef=IAUC 7375; Orig Type=Ia   ]",""
"1866","SN 2000P","13:07:10.529","-28:14:02.51","SN IIn","","NGC 4965        ","","","","","","","","","0","1","","14.1","","2000-03-08 00:00:00.000","","[Discoverer=Chassagne; DiscoveryRef=IAUC 7378; PositionRef=IAUC 7378; Orig Type=IIn  ]",""
"1867","SN 2000Q","16:05:11.849","+69:39:51.52","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.8","","2000-03-12 00:00:00.000","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7380; PositionRef=IAUC 7380; Orig Type=Ia   ]",""
"1868","SN 2000R","10:01:21.271","-06:33:57.38","SN IIL","","Anon.           ","","","","","","","","","0","1","","19.4","","2000-02-27 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=IIL  ]",""
"1869","SN 2000S","10:34:55.891","-06:28:26.00","SN Ic","","MCG -01-27-20   ","","","","","","","","","0","1","","20.9","","2000-02-28 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Ic   ]",""
"1870","SN 2000T","12:36:20.350","-12:28:23.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2000-03-03 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Ia   ]",""
"1871"," 2000U","12:45:27.900","-12:10:34.28","","","Anon.           ","","","","","","","","","0","1","","20.2","","2000-03-04 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Unknown]",""
"1872","SN 2000V","12:03:28.639","-05:47:15.68","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.6","","2000-03-06 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Ia   ]",""
"1873"," 2000W","11:10:59.530","-04:43:46.81","","","Anon.           ","","","","","","","","","0","1","","20.4","","2000-03-09 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Unknown]",""
"1874"," 2000X","11:30:45.410","-05:12:16.81","","","Anon.           ","","","","","","","","","0","1","","20.2","","2000-03-10 00:00:00.000","","[Discoverer=Amadon, Blanc, EROS; DiscoveryRef=IAUC 7384; PositionRef=IAUC 7384; Orig Type=Unknown]",""
"1875"," 2000Y","07:48:13.001","-01:28:37.70","","","Anon.           ","","","","","","","","","0","1","","18.8","","2000-03-04 00:00:00.000","","[Discoverer=Schaefer, QUEST; DiscoveryRef=IAUC 7387; PositionRef=IAUC 7387; Orig Type=Unknown]",""
"1876"," 2000Z","07:50:01.109","-00:34:58.12","","","Anon.           ","","","","","","","","","0","1","","20.3","","2000-03-04 00:00:00.000","","[Discoverer=Schaefer, QUEST; DiscoveryRef=IAUC 7387; PositionRef=IAUC 7387; Orig Type=Unknown]",""
