"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4301","SN 2007ke","02:54:23.899","+41:34:16.28","SN Ib","","NGC 1129        ","","","","","","","","","0","1","","18.5","","2007-09-24 00:00:00.000","","[Discoverer=Chu, Li (LOSS); DiscoveryRef=CBET 1084; PositionRef=CBET 1084; Orig Type=Ib   ]",""
"4312","SN 2007kp","22:09:29.590","+00:44:16.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2007-09-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4313","SN 2007kq","00:19:43.910","-00:24:00.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2007-09-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4314","SN 2007kr","00:25:27.499","-00:50:22.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2007-09-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia/c?]",""
"4315","SN 2007ks","20:49:33.060","-00:45:42.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.9","","2007-09-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4316","SN 2007kt","01:50:23.959","+01:10:19.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2007-09-15 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4317","SN 2007ku","01:33:28.210","+00:31:28.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","2007-09-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4318","SN 2007kv","01:10:15.840","+00:28:19.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2007-09-19 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4319","SN 2007kw","02:10:16.841","-00:15:57.10","SN II","","Anon.           ","","","","","","","","","0","1","","20.2","","2007-09-19 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II   ]",""
"4320","SN 2007kx","00:13:42.881","+00:39:07.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.8","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4321","SN 2007ky","01:06:11.530","-00:36:50.90","SN II","","Anon.           ","","","","","","","","","0","1","","20.7","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II   ]",""
"4322","SN 2007kz","03:36:04.570","-00:12:04.39","SN II","","Anon.           ","","","","","","","","","0","1","","21.8","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II   ]",""
"4323","SN 2007L","00:43:52.200","+00:47:35.59","SN II","","UGC 466         ","","","","","","","","","0","1","","16.8","","2007-01-18 00:00:00.000","","[Discoverer=Mostardi, Li (LOSS); DiscoveryRef=CBET 814; PositionRef=IAUC 8798; Orig Type=II   ]",""
"4324","SN 2007la","22:29:54.780","+01:03:30.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2007-09-30 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4325","SN 2007lb","03:49:09.530","-00:44:09.20","SN II","","Anon.           ","","","","","","","","","0","1","","19","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II   ]",""
"4326","SN 2007lc","00:49:09.101","+00:35:49.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.6","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4327","SN 2007ld","20:49:29.590","+00:00:14.00","SN II","","Anon.           ","","","","","","","","","0","1","","17.9","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II   ]",""
"4328","SN 2007le","23:38:48.410","-06:31:21.29","SN Ia","","NGC 7721        ","","","","","","","","","0","1","","15.2","","2007-10-13 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 1100; PositionRef=CBET 1100; Orig Type=Ia   ]",""
"4329","SN 2007lf","00:16:45.461","+01:12:03.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2007-09-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4330","SN 2007lg","00:46:03.950","-00:00:37.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4331","SN 2007lh","01:08:52.020","+01:11:52.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4332","SN 2007li","01:13:04.010","-00:32:24.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2007-09-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4333","SN 2007lj","21:28:41.930","-00:04:02.10","SN II","","Anon.           ","","","","","","","","","0","1","","20.6","","2007-09-30 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=II   ]",""
"4334","SN 2007lk","01:57:50.110","-00:23:53.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia?  ]",""
"4335","SN 2007ll","01:58:40.130","-00:14:56.62","SN II","","Anon.           ","","","","","","","","","0","1","","20.5","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=II?  ]",""
"4336","SN 2007lm","03:13:40.440","+00:37:47.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4337","SN 2007ln","03:40:43.210","+01:00:11.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia?  ]",""
"4338","SN 2007lo","22:35:56.059","+00:36:33.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4339","SN 2007lp","22:43:41.011","+00:25:16.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2007-10-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4340","SN 2007lq","00:23:07.870","+00:59:00.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia?  ]",""
"4341","SN 2007lr","00:49:00.341","-00:19:26.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4342","SN 2007ls","20:28:28.070","+00:00:22.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4343","SN 2007lt","21:53:47.340","+00:00:54.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.9","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4344","SN 2007lu","22:01:34.901","-00:15:24.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4345","SN 2007lv","23:24:47.981","+00:56:40.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia?  ]",""
"4346","SN 2007lw","23:36:48.900","-00:46:56.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2007-10-06 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4347","SN 2007lx","00:11:39.269","-00:28:24.10","SN II","","MCG +00-1-36    ","","","","","","","","","0","1","","20.5","","2007-10-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=II?  ]",""
"4348","SN 2007ly","00:22:53.381","+00:46:33.38","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.1","","2007-10-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=Ia   ]",""
"4349","SN 2007lz","00:31:23.210","+00:19:08.11","SN II","","Anon.           ","","","","","","","","","0","1","","21","","2007-10-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1102; PositionRef=CBET 1102; Orig Type=II   ]",""
"4350","SN 2007M","12:04:34.171","+20:11:30.19","SN Ia","","NGC 4076        ","","","","","","","","","0","1","","19.2","","2007-01-14 00:00:00.000","","[Discoverer=Lee, Li (LOSS); DiscoveryRef=CBET 816; PositionRef=IAUC 8798; Orig Type=Ia   ]",""
