"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3601","SN 2006er","00:21:37.541","-01:00:35.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.5","","2006-08-26 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 611; PositionRef=IAUC 8744; Orig Type=Ia   ]",""
"3612","SN 2006fb","23:35:51.509","-00:10:37.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.1","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
"3613","SN 2006fc","21:34:46.610","+01:10:33.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
"3614","SN 2006fd","20:37:53.251","+01:13:16.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.4","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3615"," 2006fe","20:52:09.161","-00:30:40.00","","","Anon.           ","","","","","","","","","0","1","","21","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Unknown]",""
"3616","SN 2006ff","00:26:35.640","-00:18:07.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.7","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3617","SN 2006fg","00:38:20.040","-00:17:41.89","SN II","","Anon.           ","","","","","","","","","0","1","","19.1","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=II   ]",""
"3618","SN 2006fh","01:49:34.910","-00:38:59.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3619","SN 2006fi","22:19:50.261","+00:01:27.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3620","SN 2006fj","02:47:08.669","+00:46:30.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.3","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3621","SN 2006fk","22:01:01.330","+00:42:58.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3622","SN 2006fl","22:11:27.710","+00:45:21.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.3","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3623","SN 2006fm","22:10:10.260","+00:30:11.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.2","","2006-09-15 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3624","SN 2006fn","23:00:05.981","+00:32:15.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.6","","2006-09-15 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 623; PositionRef=CBET  623; Orig Type=Ia   ]",""
"3625","SN 2006fo","02:32:38.890","+00:37:03.00","SN Ic","","Anon.           ","","","","","","","","","0","1","","18.2","","2006-09-16 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 624; PositionRef=IAUC 8750; Orig Type=Ic   ]",""
"3626","SN 2006fp","22:45:41.131","+73:09:47.81","SN IIn","","UGC 12182       ","","","","","","","","","0","1","","17.7","","2006-09-17 00:00:00.000","","[Discoverer=Puckett, Gagliano; DiscoveryRef=CBET 625; PositionRef=IAUC 8750; Orig Type=IIn? ]",""
"3627","SN 2006fq","00:20:00.809","-00:37:29.89","SN IIP","","Anon.           ","","","","","","","","","0","1","","20.5","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=IIP  ]",""
"3628","SN 2006fr","20:50:30.211","+00:23:55.28","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia?  ]",""
"3629","SN 2006fs","21:09:58.999","+00:24:31.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","20","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3630","SN 2006ft","00:31:50.059","-00:22:58.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3631","SN 2006fu","23:51:08.410","-00:44:46.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.8","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia?  ]",""
"3632","SN 2006fv","01:21:37.879","+00:24:52.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia?  ]",""
"3633","SN 2006fw","01:47:10.339","-00:08:49.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3634","SN 2006fx","22:46:16.150","+00:24:57.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3635","SN 2006fy","23:26:40.190","-00:50:24.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3636","SN 2006fz","00:16:41.350","-00:25:28.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-09-12 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3637","SN 2006G","01:24:35.830","+01:43:15.82","SN II","","NGC 521         ","","","","","","","","","0","1","","17.5","","2006-01-13 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 365; PositionRef=CBET  365; Orig Type=II   ]",""
"3638","SN 2006ga","00:52:56.330","+00:26:52.30","SN I","","Anon.           ","","","","","","","","","0","1","","21.2","","2006-09-12 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=I?   ]",""
"3639","SN 2006gb","23:59:16.500","-01:15:01.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-09-15 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 627; PositionRef=CBET  627; Orig Type=Ia   ]",""
"3640","SN 2006gc","04:58:50.810","+06:58:28.60","SN II","","UGC 3219        ","","","","","","","","","0","1","","18.2","","2006-09-18 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 628; PositionRef=IAUC 8750; Orig Type=II   ]",""
"3641","SN 2006gd","01:10:26.390","-01:04:04.80","SN IIP","","Anon.           ","","","","","","","","","0","1","","22.8","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 629; PositionRef=CBET  629; Orig Type=IIP  ]",""
"3642","SN 2006ge","21:49:35.789","+00:00:03.82","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 629; PositionRef=CBET  629; Orig Type=Ia   ]",""
"3643","SN 2006gf","00:46:24.350","+00:00:12.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-09-11 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 629; PositionRef=CBET  629; Orig Type=Ia   ]",""
"3644","SN 2006gg","00:28:12.511","+00:07:04.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-09-12 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 629; PositionRef=CBET  629; Orig Type=Ia   ]",""
"3645","SN 2006gh","00:54:46.939","-00:15:03.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2006-09-12 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 629; PositionRef=CBET  629; Orig Type=Ia   ]",""
"3646","SN 2006gi","10:16:46.759","+73:26:26.41","SN Ib","","NGC 3147        ","","","","","","","","","0","1","","16.3","","2006-09-18 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 630; PositionRef=CBET  630; Orig Type=Ib   ]",""
"3647","SN 2006gj","03:17:35.801","-01:41:30.19","SN Ia","","UGC 2650        ","","","","","","","","","0","1","","17.8","","2006-09-18 00:00:00.000","","[Discoverer=Puckett, Toth; DiscoveryRef=CBET 631; PositionRef=CBET  631; Orig Type=Ia   ]",""
"3648","SN 2006gk","21:25:23.340","-01:02:01.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
"3649","SN 2006gl","01:05:50.110","+00:08:41.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
"3650","SN 2006gm","22:59:07.459","-00:37:38.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
