"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"780"," 1990O","17:15:35.921","+16:19:25.79","","","MCG +03-44-3    ","","","","","","","","","0","1","","17","","1990-06-22 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5039; PositionRef=AJ 112, 2408; Orig Type=Unknown]",""
"781"," 1990P","16:15:06.401","-15:35:50.10","","","Anon.           ","","","","","","","","","0","1","","19","","1990-06-22 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5039; PositionRef=IAUC 5039; Orig Type=Unknown]",""
"782"," 1990Q","15:21:33.250","-07:22:26.62","","","NGC 5917        ","","","","","","","","","0","1","","18","","1990-06-24 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5040; PositionRef=IAUC 5040; Orig Type=Unknown]",""
"783"," 1990R","21:12:20.900","+12:36:43.00","","","UGC 11699       ","","","","","","","","","0","1","","17.5","","1990-06-26 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5054; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"784"," 1990S","12:05:33.101","-30:09:40.00","","","MCG -05-29-6    ","","","","","","","","","0","1","","15.5","","1990-07-22 00:00:00","","[Discoverer=Antezana; DiscoveryRef=IAUC 5058; PositionRef=IAUC 5058; Orig Type=Unknown]",""
"785"," 1990T","19:59:02.280","-56:15:29.99","","","Anon.           ","","","","","","","","","0","1","","16.5","","1990-07-21 00:00:00","","[Discoverer=Antezana; DiscoveryRef=IAUC 5061; PositionRef=AJ 112, 2408; Orig Type=Unknown]",""
"786","SN 1990U","23:04:54.919","+12:18:20.09","SN Ic","","NGC 7479        ","","","","","","","","","0","1","","16","","1990-07-27 00:00:00","","[Discoverer=Pennypacker, Perlmutter, Marvin; DiscoveryRef=IAUC 5063; PositionRef=AJ 111, 2017; Orig Type=Ic   ]",""
"787"," 1990V","23:15:38.800","+07:17:05.00","","","NGC 7564        ","","","","","","","","","0","1","","18","","1990-07-29 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5074; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"788"," 1990W","16:52:47.249","-59:12:55.12","","","NGC 6221        ","","","","","","","","","0","1","","15","","1990-08-16 00:00:00","","[Discoverer=Evans; DiscoveryRef=IAUC 5076; PositionRef=IAUC 5077; Orig Type=Unknown]",""
"789","SN 1990X","23:22:43.700","+23:12:14.00","SN II","","UGC 12565       ","","","","","","","","","0","1","","19","","1990-08-17 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5076; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
