"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"2535","SN 2003aq","14:10:07.241","+17:37:05.30","SN II","","NGC 5490        ","","","","","","","","","0","1","","18.5","","2003-02-06 00:00:00","","[Discoverer=Boles; DiscoveryRef=IAUC 8072; PositionRef=IAUC 8072; Orig Type=II   ]",""
"2536","SN 2003ar","16:02:08.110","+70:24:55.51","SN Ia","","MCG +12-15-47   ","","","","","","","","","0","1","","17.9","","2003-02-14 00:00:00","","[Discoverer=Boles; DiscoveryRef=IAUC 8072; PositionRef=IAUC 8072; Orig Type=Ia   ]",""
"2537","SN 2003as","05:28:45.809","+49:52:59.09","SN IIn","","MCG +08-10-7    ","","","","","","","","","0","1","","16.8","","2003-02-13 00:00:00","","[Discoverer=Boles; DiscoveryRef=IAUC 8073; PositionRef=IAUC 8073; Orig Type=IIn  ]",""
"2538","SN 2003at","16:38:47.810","+66:01:23.70","SN II","","MCG +11-20-23   ","","","","","","","","","0","1","","17.2","","2003-02-15 00:00:00","","[Discoverer=Armstrong; DiscoveryRef=IAUC 8074; PositionRef=IAUC 8074; Orig Type=II   ]",""
"2539","SN 2003au","16:11:11.561","+61:15:58.21","SN Ia","","NGC 6095        ","","","","","","","","","0","1","","19.2","","2003-02-17 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8075; PositionRef=IAUC 8075; Orig Type=Ia   ]",""
"2540","SN 2003av","08:01:32.570","+02:48:27.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.6","","2003-02-04 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8077; PositionRef=IAUC 8077; Orig Type=Ia   ]",""
"2541"," 2003aw","09:05:54.790","-05:36:08.60","","","Anon.           ","","","","","","","","","0","1","","0","","","","[Discoverer=NEAT/Wood-Vasey et al.; foreground dwarf nova; DiscoveryRef=IAUC 8077; PositionRef=IAUC 8077; Orig Type=Unknown]",""
"2542","SN 2003ax","08:08:35.530","+07:46:42.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.7","","2003-02-09 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8079; PositionRef=IAUC 8079; Orig Type=Ia   ]",""
"2543","SN 2003ay","04:07:26.249","+28:07:55.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.1","","2003-02-19 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8079; PositionRef=IAUC 8079; Orig Type=Ia   ]",""
"2544"," 2003az","12:37:19.670","+62:18:37.51","","","Anon.           ","","","","","","","","","0","1","","24.4","","2003-02-20 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
"2545","SN 2003B","02:46:13.781","-30:13:45.08","SN II","","NGC 1097        ","","","","","","","","","0","1","","15","","2003-01-05 00:00:00","","[Discoverer=Evans; DiscoveryRef=IAUC 8042; PositionRef=IAUC 8043; Orig Type=II   ]",""
"2546"," 2003ba","12:36:15.881","+62:12:37.69","","","Anon.           ","","","","","","","","","0","1","","23.7","","2003-02-21 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
"2547"," 2003bb","12:36:24.470","+62:08:35.30","","","Anon.           ","","","","","","","","","0","1","","25.6","","2003-02-21 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
"2548"," 2003bc","12:36:38.059","+62:09:53.32","","","Anon.           ","","","","","","","","","0","1","","24","","2003-02-21 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
"2549"," 2003bd","12:37:25.061","+62:13:17.51","","","Anon.           ","","","","","","","","","0","1","","23.2","","2003-02-21 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
"2550"," 2003be","12:36:25.970","+62:06:55.58","","","Anon.           ","","","","","","","","","0","1","","23.1","","2003-02-22 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8081; PositionRef=IAUC 8081; Orig Type=Unknown]",""
