"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"151"," 1955R","12:34:42.490","+49:19:54.80","","","UGC 7740        ","","","","","","","","","0","1","","21","","1955-04-24 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5525; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"164","SN 1957A","09:21:50.400","+50:59:43.00","SN Ia-pec","","NGC 2841        ","","","","","","","","","0","1","","14","","1957-02-26 00:00:00","","[Discoverer=Schurer; DiscoveryRef=IAUC 1588; PositionRef=; Orig Type=Ia-p ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"165","SN 1957B","12:25:02.700","+12:53:58.00","SN Ia","","NGC 4374        ","","","","","","","","","0","1","","12.5","","1957-04-23 00:00:00","","[Discoverer=Romano, Gates; DiscoveryRef=IAUC 1600; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"166"," 1957C","03:33:32.100","-36:07:02.00","","","NGC 1365        ","","","","","","","","","0","1","","16.5","","","","[Discoverer=Gates; DiscoveryRef=HAC 1383; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"167"," 1957D","13:37:03.500","-29:49:41.00","","","NGC 5236        ","","","","","","","","","0","1","","15","","","","[Discoverer=Gates; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"168"," 1958A","16:00:50.191","+19:42:37.01","","","Anon.           ","","","","","","","","","0","1","","19","","1958-08-08 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 75, 236; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"169"," 1958B","02:37:06.010","+01:19:28.70","","","Anon.           ","","","","","","","","","0","1","","18","","1958-12-05 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"170"," 1958C","12:58:08.700","-30:34:50.00","","","ESO 443-G18","","","","","","","","","0","1","","19.6","","1958-04-15 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 84, 844; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"171"," 1958D","11:53:43.900","-30:44:55.00","","","ESO 440-G28","","","","","","","","","0","1","","19.5","","1958-04-15 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 84, 844; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"172"," 1958E","03:20:43.800","+42:46:47.00","","","MCG +7-7-72","","","","","","","","","0","1","","17.5","","","","[Discoverer=; DiscoveryRef=PASP 72, 208; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"173"," 1958F","13:20:38.300","-43:42:07.00","","","NGC 5082        ","","","","","","","","","0","1","","16","","","","[Discoverer=; DiscoveryRef=PASP 72, 208; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"174"," 1959A","03:31:10.300","-33:36:34.00","","","NGC 1350        ","","","","","","","","","0","1","","16","","1959-01-06 00:00:00","","[Discoverer=Gates; DiscoveryRef=PASP 72, 208; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"175"," 1959B","13:01:27.550","+27:52:22.80","","","NGC 4921        ","","","","","","","","","0","1","","18.5","","1959-05-04 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 72, 208; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"176","SN 1959C","13:11:23.810","+03:24:37.69","SN Ia","","UGC 8263        ","","","","","","","","","0","1","","13.6","","1959-06-28 00:00:00","","[Discoverer=Humason; DiscoveryRef=IAUC 1683; PositionRef=PASP 105, 1250; Orig Type=Ia   ]",""
"177","SN 1959D","22:37:01.819","+34:25:08.40","SN II","","NGC 7331        ","","","","","","","","","0","1","","13.4","","1959-06-28 00:00:00","","[Discoverer=Humason; DiscoveryRef=IAUC 1682; PositionRef=PASP 105, 1250; Orig Type=II   ]",""
"178"," 1959E","12:22:58.901","+15:49:01.09","","","NGC 4321        ","","","","","","","","","0","1","","17.5","","1960-02-21 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"179"," 1959F","02:49:42.799","-00:31:04.01","","","Anon.           ","","","","","","","","","0","1","","18.5","","1959-12-26 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"180"," 1959G","20:10:40.700","-43:56:09.00","","","Anon.           ","","","","","","","","","0","1","","14.5","","1959-08-24 00:00:00","","[Discoverer=Hoffmeister; DiscoveryRef=IAUC 1731; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"181"," 1960A","02:35:26.460","+02:06:42.08","","","Anon.           ","","","","","","","","","0","1","","16","","1960-01-20 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"182"," 1960B","12:34:44.011","+09:00:09.61","","","Anon.           ","","","","","","","","","0","1","","16","","1960-02-20 00:00:00","","[Discoverer=Kearns; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"183"," 1960C","12:07:09.271","+16:59:55.50","","","Anon.           ","","","","","","","","","0","1","","17","","1960-02-20 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"184"," 1960D","08:20:17.820","+20:52:04.40","","","UGC 4344        ","","","","","","","","","0","1","","16.4","","1960-03-20 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"185"," 1960E","12:17:37.051","+47:53:13.60","","","Anon.           ","","","","","","","","","0","1","","16.5","","1960-03-20 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 74, 215; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"186","SN 1960F","12:31:42.050","+03:56:47.80","SN Ia","","NGC 4496        ","","","","","","","","","0","1","","11.6","","1960-04-17 00:00:00","","[Discoverer=Humason; DiscoveryRef=IAUC 1721; PositionRef=PASP 105, 1250; Orig Type=Ia   ]",""
"187"," 1960G","11:31:03.569","+18:23:15.79","","","Anon.           ","","","","","","","","","0","1","","17.5","","1960-04-19 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"188","SN 1960H","12:06:07.519","+47:30:38.20","SN Ia-pec","","NGC 4096        ","","","","","","","","","0","1","","14.5","","1960-06-18 00:00:00","","[Discoverer=Wild, Humason; DiscoveryRef=IAUC 1731; PositionRef=PASP 105, 1250; Orig Type=Ia-p ]",""
"189"," 1960I","12:26:57.420","+48:16:28.60","","","UGC 7560        ","","","","","","","","","0","1","","18.5","","1960-06-18 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"190"," 1960J","12:25:03.550","+28:33:45.22","","","NGC 4375        ","","","","","","","","","0","1","","18.5","","1960-06-18 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"191"," 1960K","22:39:44.719","+34:22:41.59","","","Anon.           ","","","","","","","","","0","1","","19","","1960-06-18 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"192"," 1960L","22:00:41.621","+17:43:20.10","","","NGC 7177        ","","","","","","","","","0","1","","16","","1960-08-14 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"193"," 1960M","08:19:47.441","+22:02:28.72","","","NGC 2565        ","","","","","","","","","0","1","","15.7","","1960-10-26 00:00:00","","[Discoverer=Gomes; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"194"," 1960N","08:26:07.970","+21:27:32.29","","","UGC 4399        ","","","","","","","","","0","1","","16.6","","1960-10-26 00:00:00","","[Discoverer=Gomes; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"195"," 1960O","23:36:25.550","+27:56:20.80","","","Anon.           ","","","","","","","","","0","1","","18.5","","1960-11-10 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"196"," 1960P","01:06:10.039","+31:24:23.80","","","UGC 673         ","","","","","","","","","0","1","","17.5","","1960-11-22 00:00:00","","[Discoverer=Gomes; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"197"," 1960Q","01:35:54.960","-05:29:53.99","","","Anon.           ","","","","","","","","","0","1","","17.5","","1960-12-13 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 73, 175; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"198","SN 1960R","12:25:24.840","+18:09:19.40","SN Ia","","NGC 4382        ","","","","","","","","","0","1","","12","","1960-12-20 00:00:00","","[Discoverer=Gates, Rosino; DiscoveryRef=IAUC 1750; PositionRef=PASP 105, 1250; Orig Type=Ia   ]",""
"199"," 1961A","02:44:04.471","+00:46:56.60","","","Anon.           ","","","","","","","","","0","1","","19","","1961-01-12 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 74, 215; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"200"," 1961B","08:25:46.111","+19:27:14.62","","","IC 2363         ","","","","","","","","","0","1","","18.5","","1961-01-12 00:00:00","","[Discoverer=Humason; DiscoveryRef=PASP 74, 215; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
