"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"2451","SN 2002jx","00:26:54.130","+00:22:49.69","SN II","","Anon.           ","","","","","","","","","0","1","","23.5","","2002-12-06 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=IAUC 8034; PositionRef=IAUC 8034; Orig Type=II   ]",""
"2481"," 2002L","02:26:55.690","+00:21:37.80","","","Anon.           ","","","","","","","","","0","1","","23.8","","2002-01-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 7801; PositionRef=IAUC 7801; Orig Type=Unknown]",""
"2482"," 2002la","02:17:45.970","-04:36:46.19","","","Anon.           ","","","","","","","","","0","1","","25.2","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8121; PositionRef=IAUC 8120; Orig Type=Unknown]",""
"2483"," 2002lb","02:18:09.010","-04:54:17.89","","","Anon.           ","","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8121; PositionRef=IAUC 8120; Orig Type=Unknown]",""
"2484"," 2002lc","02:18:51.590","-04:47:24.79","","","Anon.           ","","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8121; PositionRef=IAUC 8120; Orig Type=Unknown]",""
"2485"," 2002ld","02:20:00.029","-04:44:20.18","","","Anon.           ","","","","","","","","","0","1","","24.3","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8121; PositionRef=IAUC 8120; Orig Type=Unknown]",""
"2486"," 2002le","13:11:47.959","-00:19:53.69","","","Anon.           ","","","","","","","","","0","1","","19.5","","2002-05-17 00:00:00.000","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8149; PositionRef=IAUC 8149; Orig Type=Unknown]",""
"2487"," 2002lf","13:50:50.131","+09:42:02.02","","","Anon.           ","","","","","","","","","0","1","","19.9","","2002-05-13 00:00:00.000","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8149; PositionRef=IAUC 8149; Orig Type=Unknown]",""
"2488"," 2002lg","03:32:35.760","-27:47:58.81","","","Anon.           ","","","","","","","","","0","1","","23.4","","2002-07-04 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8150; PositionRef=IAUC 8150; Orig Type=Unknown]",""
"2489","SN 2002lh","14:44:20.381","+31:15:44.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2002-06-09 00:00:00.000","","[Discoverer=Gal-Yam, Maoz, Guhathakurta; DiscoveryRef=IAUC 8169; PositionRef=IAUC 8169; Orig Type=Ia   ]",""
"2490","SN 2002li","15:59:03.079","+54:18:15.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.6","","2002-06-04 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2491","SN 2002lj","16:19:19.649","+53:09:54.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.7","","2002-06-05 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2492","SN 2002lk","16:06:55.920","+55:28:18.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2493","SN 2002ll","16:37:08.299","+41:24:37.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia?  ]",""
"2494","SN 2002lm","16:39:04.190","+42:21:32.11","SN II","","Anon.           ","","","","","","","","","0","1","","22.9","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=II   ]",""
"2495","SN 2002ln","16:39:24.929","+41:47:29.00","SN II","","Anon.           ","","","","","","","","","0","1","","22.5","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=II?  ]",""
"2496","SN 2002lo","16:39:56.419","+42:19:20.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2497","SN 2002lp","16:40:11.450","+42:28:30.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2498","SN 2002lq","16:40:28.831","+41:14:09.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
"2499","SN 2002lr","22:33:12.590","+01:05:56.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.8","","2002-06-06 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia?  ]",""
"2500","SN 2002ls","22:37:40.891","-00:38:00.82","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2002-06-07 00:00:00.000","","[Discoverer=European Supernova Cosmology Consortium; DiscoveryRef=IAUC 8181; PositionRef=IAUC 8181; Orig Type=Ia   ]",""
