"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1461","SN 1998fa","06:42:51.509","+41:25:18.91","SN IIb","","UGC 3513        ","","","","","","","","","0","1","","18.2","","1998-12-25 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7073; PositionRef=IAUC 7073; Orig Type=IIb  ]",""
"1462"," 1998fb","03:30:45.859","-52:32:12.19","","","Anon.           ","","","","","","","","","0","1","","18.4","","1998-12-20 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 7077; PositionRef=IAUC 7077; Orig Type=Unknown]",""
"1463","SN 1998fc","02:59:12.610","+03:29:39.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","1998-12-20 00:00:00","","[Discoverer=Wise Observatory Optical Transients Search; DiscoveryRef=IAUC 7082; PositionRef=IAUC 7082; Orig Type=Ia   ]",""
"1464","SN 1998fd","01:19:18.060","+15:55:24.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","1998-12-24 00:00:00","","[Discoverer=Wise Observatory Optical Transients Search; DiscoveryRef=IAUC 7082; PositionRef=IAUC 7082; Orig Type=Ia   ]",""
"1465"," 1998fe","15:59:12.840","+20:45:38.99","","","NGC 6027        ","","","","","","","","","0","1","","18","","1998-07-19 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7438; PositionRef=IAUC 7438; Orig Type=Unknown]",""
"1466"," 1998ff","22:32:48.900","-60:34:04.80","","","Anon.           ","","","","","","","","","0","1","","25.3","","1998-09-28 00:00:00","","[Discoverer=Supernova at High Z Team; DiscoveryRef=IAUC 7740; PositionRef=IAUC 7740; Orig Type=Unknown]",""
"1467","SN 1998G","08:03:37.020","+06:10:13.91","SN II","","Anon.           ","","","","","","","","","0","1","","22.8","","1998-01-23 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=II?  ]",""
"1468"," 1998H","08:04:51.470","+05:36:39.31","","","Anon.           ","","","","","","","","","0","1","","23","","1998-01-23 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Unknown]",""
"1469","SN 1998I","08:04:51.559","+05:15:47.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.6","","1998-01-23 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Ia   ]",""
"1470","SN 1998J","09:31:10.481","-04:45:36.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1998-01-23 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Ia   ]",""
"1471"," 1998K","04:13:42.859","-05:50:45.20","","","Anon.           ","","","","","","","","","0","1","","23.8","","1998-01-24 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Unknown]",""
"1472","SN 1998L","11:33:36.631","+04:35:04.60","SN II","","Anon.           ","","","","","","","","","0","1","","23.6","","1998-01-24 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=II?  ]",""
"1473","SN 1998M","11:33:44.371","+04:05:13.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.3","","1998-01-24 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Ia   ]",""
"1474"," 1998N","11:33:29.390","+03:51:02.23","","","Anon.           ","","","","","","","","","0","1","","23.1","","1998-01-24 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Unknown]",""
"1475"," 1998O","13:39:34.980","-35:46:32.48","","","Anon.           ","","","","","","","","","0","1","","20.9","","1998-01-27 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6820; PositionRef=IAUC 6820; Orig Type=Unknown]",""
"1476"," 1998P","13:37:17.630","-35:27:32.62","","","Anon.           ","","","","","","","","","0","1","","20.9","","1998-01-27 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6820; PositionRef=IAUC 6820; Orig Type=Unknown]",""
"1477"," 1998Q","13:32:46.380","-31:37:23.48","","","Anon.           ","","","","","","","","","0","1","","20.9","","1998-01-27 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6820; PositionRef=IAUC 6820; Orig Type=Unknown]",""
"1478","SN 1998R","11:14:37.030","+30:18:51.70","SN II","","UGC 6271        ","","","","","","","","","0","1","","16","","1998-02-23 00:00:00","","[Discoverer=Berlind, Carter; DiscoveryRef=IAUC 6826; PositionRef=IAUC 6826; Orig Type=II   ]",""
"1479","SN 1998S","11:46:06.180","+47:28:55.49","SN II","","NGC 3877        ","","","","","","","","","0","1","","15.2","","1998-03-02 00:00:00","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6829; PositionRef=IAUC 6831; Orig Type=II   ]",""
"1480","SN 1998T","11:28:33.161","+58:33:43.70","SN Ib","","NGC 3690        ","","","","","","","","","0","1","","15.4","","1998-03-02 00:00:00","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6830; PositionRef=IAUC 6859; Orig Type=Ib   ]",""
"1481"," 1998U","11:36:32.201","-12:07:26.69","","","Anon.           ","","","","","","","","","0","1","","20","","1998-03-03 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 6836; PositionRef=IAUC 6836; Orig Type=Unknown]",""
"1482","SN 1998V","18:22:37.399","+15:42:08.39","SN Ia","","NGC 6627        ","","","","","","","","","0","1","","16","","1998-03-10 00:00:00","","[Discoverer=Armstrong; DiscoveryRef=IAUC 6841; PositionRef=IAUC 6841; Orig Type=Ia   ]",""
"1483","SN 1998W","09:58:54.830","+14:25:25.72","SN II","","NGC 3075        ","","","","","","","","","0","1","","17.3","","1998-03-16 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 6843; PositionRef=IAUC 6843; Orig Type=II   ]",""
"1484"," 1998X","19:11:23.200","-50:38:34.00","","0.0104","NGC 6754        ","","","","","","","","","0","1","","17","","1998-03-13 00:00:00","","[Discoverer=Woodings, Martin, Williams; DiscoveryRef=IAUC 6847; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"1485","SN 1998Y","07:36:56.930","+35:14:35.99","SN II","","NGC 2415        ","","","","","","","","","0","1","","18.3","","1998-03-16 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 6850; PositionRef=IAUC 6850; Orig Type=II   ]",""
"1486","SN 1998Z","05:24:58.781","-31:21:38.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.6","","1998-03-16 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6850; PositionRef=IAUC 6850; Orig Type=Ia   ]",""
"1487","SN 1999A","15:07:55.279","+54:45:40.00","SN II","","NGC 5874        ","","","","","","","","","0","1","","18.3","","1999-01-10 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7083; PositionRef=IAUC 7083; Orig Type=II   ]",""
"1488","SN 1999aa","08:27:42.029","+21:29:14.78","SN Ia","","NGC 2595        ","","","","","","","","","0","1","","15.5","","1999-02-11 00:00:00","","[Discoverer=Arbour; Beijing Observatory Supernova Survey; DiscoveryRef=IAUC 7108; PositionRef=IAUC 7108; Orig Type=Ia   ]",""
"1489","SN 1999ab","10:25:00.641","+53:52:36.98","SN II","","Anon.           ","","","","","","","","","0","1","","18.3","","1999-02-08 00:00:00","","[Discoverer=Schwartz; DiscoveryRef=IAUC 7109; PositionRef=IAUC 7109; Orig Type=II   ]",""
"1490"," 1999ac","16:07:15.010","+07:58:20.39","","","NGC 6063        ","","","","","","","","","0","1","","15.2","","1999-02-26 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7114; PositionRef=IAUC 7114; Orig Type=Unknown]",""
"1491"," 1999ad","11:33:18.461","-05:45:29.81","","","Anon.           ","","","","","","","","","0","1","","20.2","","1999-02-09 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1492"," 1999ae","11:51:24.480","-04:39:09.40","","","Anon.           ","","","","","","","","","0","1","","21.2","","1999-02-10 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1493"," 1999af","13:44:50.950","-06:40:12.61","","","Anon.           ","","","","","","","","","0","1","","20.6","","1999-02-12 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1494"," 1999ag","12:15:22.810","-05:18:12.38","","","Anon.           ","","","","","","","","","0","1","","20.7","","1999-02-12 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1495"," 1999ah","12:09:37.200","-06:18:34.31","","","Anon.           ","","","","","","","","","0","1","","20.8","","1999-02-13 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1496"," 1999ai","13:14:10.570","-05:35:43.69","","","Anon.           ","","","","","","","","","0","1","","18.1","","1999-02-15 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1497"," 1999aj","11:22:39.341","-11:43:53.90","","","Anon.           ","","","","","","","","","0","1","","20.9","","1999-02-17 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1498"," 1999ak","11:06:52.049","-11:39:13.28","","","Anon.           ","","","","","","","","","0","1","","18.7","","1999-02-17 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1499"," 1999al","11:10:25.680","-07:26:37.00","","","Anon.           ","","","","","","","","","0","1","","19.4","","1999-02-21 00:00:00","","[Discoverer=EROS; DiscoveryRef=IAUC 7117; PositionRef=IAUC 7117; Orig Type=Unknown]",""
"1500","SN 1999am","08:24:10.879","+12:06:58.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.8","","1999-02-18 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 7122; PositionRef=IAUC 7122; Orig Type=Ia   ]",""
