"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"421"," 1972R","09:21:56.700","+50:57:20.00","","","NGC 2841        ","","","","","","","","","0","1","","16","","1972-12-05 00:00:00","","[Discoverer=Wild; DiscoveryRef=IAUC 2476; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"422"," 1972S","12:17:19.600","+23:55:19.00","","","Anon.           ","","","","","","","","","0","1","","16.3","","1972-04-06 00:00:00","","[Discoverer=Erastova; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"423"," 1972T","13:20:19.800","+31:30:53.00","","","MCG +5-32-1","","","","","","","","","0","1","","14","","","","[Discoverer=; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"424"," 1973A","11:12:14.000","+27:37:59.00","","","NGC 3574        ","","","","","","","","","0","1","","18","","1973-01-11 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"425"," 1973B","15:15:07.000","+02:44:48.00","","","Anon.           ","","","","","","","","","0","1","","15","","1973-01-12 00:00:00","","[Discoverer=Kowal; DiscoveryRef=IAUC 2485; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"426"," 1973C","11:23:36.700","+53:50:34.00","","","NGC 3656        ","","","","","","","","","0","1","","17","","1973-01-11 00:00:00","","[Discoverer=Kowal, Shakhbazyan; DiscoveryRef=IAUC 2491; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"427"," 1973D","11:12:06.300","+27:35:13.00","","","NGC 3570        ","","","","","","","","","0","1","","17","","1973-01-30 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"428"," 1973E","12:57:05.100","-05:01:17.00","","","Anon.           ","","","","","","","","","0","1","","16.2","","1973-04-06 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=IAUC 2525; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"429"," 1973F","13:03:52.001","+28:11:11.80","","","NGC 4944        ","","","","","","","","","0","1","","16.2","","1973-03-31 00:00:00","","[Discoverer=Kohoutek; DiscoveryRef=IAUC 2521; PositionRef=PASP 90, 565; Orig Type=Unknown]",""
"430"," 1973G","00:00:00.000","+00:00:00.00","","","Anon.           ","","","","","","","","","0","1","","0","","","","[Discoverer=Kowal; DiscoveryRef=; PositionRef=; Orig Type=Unknown] Foreground variable (according to http://www.rochesterastronomy.org)",""
"431"," 1973H","12:05:22.000","-04:17:58.00","","","Anon.           ","","","","","","","","","0","1","","18.5","","1973-04-06 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"432"," 1973I","13:18:18.800","-06:55:60.00","","","Anon.           ","","","","","","","","","0","1","","20.5","","1973-04-06 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"433"," 1973J","13:04:15.900","-10:20:35.00","","","NGC 4939        ","","","","","","","","","0","1","","16","","1973-05-21 00:00:00","","[Discoverer=Wild; DiscoveryRef=IAUC 2538; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"434"," 1973K","12:13:40.500","-05:58:37.00","","","Anon.           ","","","","","","","","","0","1","","19.1","","1973-04-26 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"435"," 1973L","23:27:42.800","+14:32:25.00","","","KUG 2325+142","","","","","","","","","0","1","","18.5","","1973-06-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"436"," 1973M","23:19:30.600","+09:29:52.00","","","NGC 7609        ","","","","","","","","","0","1","","19","","1973-06-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"437","SN 1973N","23:08:49.400","+12:02:57.00","SN I","","NGC 7495        ","","","","","","","","","0","1","","15.5","","1973-09-02 00:00:00","","[Discoverer=Wild; DiscoveryRef=IAUC 2571; PositionRef=; Orig Type=I    ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"438"," 1973O","22:37:24.400","+34:21:56.00","","","NGC 7337        ","","","","","","","","","0","1","","19","","1973-09-04 00:00:00","","[Discoverer=Kormendy; DiscoveryRef=IAUC 2573; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"439"," 1973P","02:31:35.800","+39:23:21.00","","","UGC 1993        ","","","","","","","","","0","1","","18","","1973-09-02 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"440"," 1973Q","23:25:14.300","+06:20:35.00","","","Anon.           ","","","","","","","","","0","1","","18.5","","1973-10-01 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"441","SN 1973R","11:20:11.500","+12:59:47.00","SN II","","NGC 3627        ","","","","","","","","","0","1","","14.5","","1973-12-19 00:00:00","","[Discoverer=Rosino; DiscoveryRef=IAUC 2615; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"442"," 1973S","23:44:50.000","+25:43:43.00","","","Anon.           ","","","","","","","","","0","1","","18.5","","1973-12-21 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"443"," 1973T","23:19:18.500","+13:54:28.00","","","Anon.           ","","","","","","","","","0","1","","18","","1973-12-24 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"444"," 1973U","00:42:16.600","+29:39:26.00","","","IC 43           ","","","","","","","","","0","1","","16.5","","1973-12-24 00:00:00","","[Discoverer=Kowal; DiscoveryRef=IAUC 2620; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"445"," 1973V","11:12:09.400","+54:00:38.00","","","Anon.           ","","","","","","","","","0","1","","17","","1973-12-24 00:00:00","","[Discoverer=Kowal; DiscoveryRef=IAUC 2624; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"446"," 1974A","12:10:47.500","+39:28:28.00","","","NGC 4156        ","","","","","","","","","0","1","","20","","1974-01-28 00:00:00","","[Discoverer=Arp; DiscoveryRef=IAUC 2632; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"447"," 1974B","13:29:12.900","-33:09:22.00","","","NGC 5161        ","","","","","","","","","0","1","","14.5","","1974-01-28 00:00:00","","[Discoverer=Kowal; DiscoveryRef=IAUC 2640; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"448"," 1974C","10:38:45.600","+53:30:03.00","","","NGC 3310        ","","","","","","","","","0","1","","16.5","","1974-02-26 00:00:00","","[Discoverer=van der Kruit, Arp; DiscoveryRef=IAUC 2641; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"449"," 1974D","11:50:54.600","+55:09:08.00","","","NGC 3916        ","","","","","","","","","0","1","","15.5","","1974-03-20 00:00:00","","[Discoverer=Lovas; DiscoveryRef=IAUC 2653; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"450"," 1974E","12:01:57.300","-18:52:30.00","","","NGC 4038        ","","","","","","","","","0","1","","14","","1974-03-21 00:00:00","","[Discoverer=Lovas; DiscoveryRef=IAUC 2653; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
